Sample,Ratio average
17,2.20272553295875
18,2.8189703123621
19,1.04197109004317
20,1.30470498473514
21,18.9852400931338
23,0.403933123084208
27,5.20680106762127
28,8.04782648923252
29,4.55577369501095
30,3.99941670979573
32,17.7850518920892
33,16.4117048159073
34,5.48978350538926
35,14.7523884440757
36,11.7615828493682
37,8.67515926665217
38,7.52102426956667
39,6.5177027745387
40,8.83716327626448
41,13.1444509577878
42,9.39978174420997
43,5.78229000123103
44,9.22732469233123
45,9.09001956078862
46,18.1736899750741
47,17.1168529000477
48,16.5265478924273
49,15.2953666886015
50,8.18986342162904
51,13.4388082703191
52,8.2692278789682
53,9.71136900004486
54,7.62493132622996
55,7.74385669803889
56,10.6230873220762
57,10.4683273289308
58,5.06622455494718
59,6.67281242234855
60,4.31361463415116
61,7.08247716697902
62,8.44482916910714
63,12.522481448441
64,4.56722133778842
65,3.29505791064301
66,5.06544898624449
67,7.1647717866413
68,7.18763957999538
69,6.98308085143251
70,6.24926588657965
71,6.10221185137003
72,10.2514531665043
73,6.16512030857889
74,15.1717267952916
75,9.9592292989154
76,19.416795037107
77,14.125338424956
78,12.2336052931842
79,17.8555177413708
80,9.67286853248117
81,11.2667850211378
83,10.314048509568
84,5.93056294268269
85,10.5062788299068
86,13.07718021059
87,11.9302934639703
88,2.13978882132224
90,7.4221379945844
91,14.3789435258098
92,6.02766327900245
93,13.4239040539832
94,4.65455779377095
95,5.69072350227697
96,6.60128177860208
97,6.8598115198072
98,5.40273968747969
99,7.5858765388157
103,14.614213432185
104,8.0110224504384
106,9.41196958546489
